,,,
,Clasificación técnica de ingredientes (Análisis INCI),,
,,,
,,,
,Catedoria Funcional,Ingredientes Identificados en la Muestra (INCI),Observación en el Mercado
,Tensioactivos Aniónicos (Limpieza fuerte),"Sodium Laureth Sulfate (SLES), Sodium Lauryl Sulfate (SLS), Ammonium Lauryl Sulfate.",Presentes en el 90% de la muestra. Son los más económicos y espumosos.
,Tensioactivos Anfóteros (Suavidad),"Cocamidopropyl Betaine, Coco-Betaine, Lauramidopropyl Betaine.",Presentes en el 85%. Ayudan a reducir la irritación de los aniónicos.
,Tensioactivos No Iónicos (Ecológicos),"Coco-Glucoside, Glyceryl Oleate, Decyl Glucoside.",Solo 15% de presencia.
,Acondicionadores,"Guar Hydroxypropyltrimonium Chloride, Dimethicone, Polyquaternium-7/10/11.",Utilizados para neutralizar la carga negativa del cabello tras la limpieza.
,Agentes Quelantes,"Tetrasodium EDTA, Sodium Gluconate, Sodium Citrate.",Secuestran metales del agua para evitar que el shampoo se enturbie.
,Agente reológico /espesante,"Sodium Chloride (Sal), PEG-150 Distearate, Xanthan Gum",El 75% usa sal; la propuesta usa Goma Xantana (solo 15%).
,Reguladores de pH,"Citric Acid (Ácido Cítrico), Sodium Hydroxide.",El ácido cítrico está en el 100% para ajustar al pH fisiológico (5.5)
,Conservadores,"Sodium Benzoate, Phenoxyethanol, Methylisothiazolinone.",Indispensables para prevenir el crecimiento microbiano por el alto contenido de agua.
,Ingredientes Sensoriales,"Fragancias (Linalool, Limonene), Colorantes (CI 19140), Extractos (Maguey, Aloe, Coco).","Definen la experiencia del usuario, aunque su concentración real suele ser baja."
