,,,,
,,,,
,,"Distribución técnica de ingredientes (N=20)
",,
,,,,
,,,,
,,Catedoria Funcional,Frecuencia (%),Ingrediente (Nomenclatura INCI)
,,Tensioactivos Aniónicos (Limpieza fuerte),95%,"Sodium Laureth Sulfate (lauril éter sulfato de sodio)

"
,,Tensioactivos Anfóteros (Suavidad),85%,"Cocamidopropyl Betaine (Betaina)

"
,,Tensioactivos No Iónicos (Ecológicos),15%,Coco-Glucoside (Coco Glucósido)
,,Acondicionadores,90%,Guar Hydroxypropyltrimonium Chloride (Cloruro de guar hidroxipropiltrimonio)
,,Agente reológico /espesante (sal),75%,Sodium Chloride (cloruro de sodio)
,,Agente reológico /espesante (naturales),15%,Xanthan Gum (Goma xantana)
,,Reguladores de pH,100%,Citric Acid (Ácido cítrico)
,,Sistema de preservación,75 %,Sodium Benzoate (Mayoritario)
,,Conservador marcador,25%,Phenoxyethanol (Fenoxietanol)
,,Ingredientes Sensoriales,100%,Fragancia y extractos
