,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Marca,Tencionactivos principales,Tensioactivos suaves,Acondicionadores,Ajustadores de pH,Conservantes,Fragancias,Espesantes,Agentes quelantes,Humectantes,Antioxidantes,Extractos Botánicos,Vitaminas,Colorantes,Solvente Base
,Garnier fructis coco,Sodium Lauryl Sulfate,"Coco-Glucoside, Coco-Betaine",Hydroxypropyl Guar,Citric Acid,Sodium Benzoate,"Parfum, Limonene",Xanthan Gum,--------,Glycerin,Tocopherol,Cocos Nucifera Extract,Tocopherol (Vitamina E),-----,Agua
,Herbal Essences Aloe Mango,Sodium Laureth Sulfate,Lauramidopropyl Betaine,Polyquaternium-10,"Citric Acid, Sodium Citrate",Sodium Benzoate,"Parfum, Limonene",-----,Tetrasodium EDTA,-----,-------,"Aloe Vera, Mango",-----,-----,Agua
,Garnier Fructis Aloe Vera,Sodium Lauryl Sulfate,"Coco-Glucoside, Coco-Betaine",Hydroxypropyl Guar,Citric Acid,Sodium Benzoate,"Parfum, Linalool, Citronellol",-----,--------,-----,-------,Aloe Vera,-----,-----,Agua
,Grisi Aloe Vera,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Guar Hydroxypropyltrimonium Chloride,Citric Acid,Sodium Benzoate,"Parfum, Limonene",-----,Tetrasodium EDTA,-----,-------,Aloe Vera,-----,"CI 19140, CI 42090",Agua
,Mennen Miel y Manzanilla,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Hydroxypropyl Guar,Citric Acid,Sodium Benzoate,Parfum,Sodium Chloride,Tetrasodium EDTA,-------,--------,Manzanilla,-----,"CI 19140, CI 14700",Agua
,Grisi Manzanilla,Laureth Sulfato de Sodio,Cocamidopropil Betaína,Policuaternio-11,Ácido Cítrico,Sodium Benzoate,"Fragancia, Limoneno",Cloruro de Sodio,Tetrasodium EDTA,Glicerina,Tocoferol,Manzanilla,-----,-----,Agua
,Herbal Essences Té Verde & Menta,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Guar Hydroxypropyltrimonium Chloride,"Citric Acid, Sodium Citrate","Fenoxietanol, Metilisotiazolinona","Parfum, Limonene",Sodium Chloride,Tetrasodium EDTA,------,-----,"Té Verde, Menta",-----,-----,Agua
,Bergamota y Té Verde,Lauril Éter Sulfato de Sodio,Cocamidopropil Betaina,------,Ácido Cítrico,"Sodium Benzoate, Methylisothiazolinone",Fragancia,-----,Tetrasodium EDTA,------,-----,"Bergamota, Té Verde",------,-----,Agua
,Herbal Essences Lavanda & Almendras,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Guar Hydroxypropyltrimonium Chloride,"Citric Acid, Sodium Citrate","Sodium Benzoate, Methylisothiazolinone","Parfum, Limonene",-----,Tetrasodium EDTA,------,-----,"Lavanda, Aceite de Almendras",---,"CI 17200, CI 42090, CI 19142",Agua
,Grisi Manzanilla Agave Azul,Laureth Sulfato de Sodio,Cocamidopropyl Betaine,"Cetrimonium Chloride, Policuaternio-11, PEG-12 Dimethicone",Citric Acid,"Phenoxyethanol, Methylisothiazolinone, Benzoic Acid","Parfum, Benzyl Salicylate, Limonene, Linalool",Sodium Chloride,Tetrasodium EDTA,"Glycerin, Butylene Glycol",Tocopherol (Vitamina E),"Chamomilla Recutita Extract (Manzanilla), Actinidia Chinensis Fruit Juice (Kiwi), Prunus Amygdalus Dulcis Seed Extract (Almendra), agave azul.",Tocopherol (Vitamina E),-----,Agua
,Savilé Control Caspa,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Guar Hydroxypropyltrimonium Chloride,Citric Acid,Phenoxyethanol,"Parfum, Benzyl Salicylate",Sodium Chloride,--------,-----,-----,"Aloe Vera, Romero",----,CI 42090,Agua
,Garnier Fructis Post Químic,"Sodium Laureth Sulfate, Sodium Lauryl Sulfate",Cocobetaine,Guar Hydroxypropyltrimonium Chloride,Citric Acid,Phenoxyethanol,"Parfum, Limonene, Linalool",-----,--------,Hydrolyzed Vegetable Proteina,Camellia Sinensis Leaf Extract,"Té Verde, Manzana, Limón",Niacinamide (Vitamina B3),-----,Agua
,Head & Shoulders Aceite de Coco,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Guar Hydroxypropyltrimonium Chloride,-----,Sodium Benzoate,"Parfum, Benzyl Salicylate",-----,--------,----,------,Aceite de Coco,------,-----,Agua
,Pert Agave y Aguacate,Sodium Laureth Sulfate,Cocamidopropyl Betaine,PEG-7 Glyceryl Cocoate,Citric Acid,Phenoxyethanol,"Parfum, Benzyl Salicylate",-----,--------,Panthenol,------,"Aguacate, Agave",Panthenol (Pro-Vitamina B5),-----,Agua
,Herbal Essences Pelo Largo,"Sodium Laureth Sulfate, Sodium Lauryl Sulfate",Cocamidopropyl Betaine,Guar Hydroxypropyltrimonium Chloride,"Citric Acid, Sodium Citrate",Methylchloroisothiazolinone,"Parfum, Hexyl Cinnamal",-----,,----,-----,Viola Odorata Flower/Leaf Extract,----,"CI 17200, CI 19140",Agua
,Herbal Essences Agua de Coco,"Sodium Laureth Sulfate, Sodium Lauryl Sulfate",Cocamidopropyl Betaine,Guar Hydroxypropyltrimonium Chloride,"Citric Acid, Sodium Citrate","Methylchloroisothiazolinone, Methylisothiazolinone","Parfum, Limonene, Linalool, Citronellol",-----,--------,-----,----,"Aloe Vera, Jazmín, Agua de Coco",---,-----,Agua
,Herbal Essences Anti-Frizz,"Sodium Laureth Sulfate, Sodium Lauryl Sulfate",Cocamidopropyl Betaine,Guar Hydroxypropyltrimonium Chloride,"Citric Acid, Sodium Citrate","Methylchloroisothiazolinone, Methylisothiazolinone","Parfum, Limonene, Linalool, Citronellol",-----,--------,----,------,"Lavanda, Aceite de Almendras",---,"CI 17200, CI 42090, CI 19145",Agua
,Garnier Fructis Oil Repair,Sodium Laureth Sulfate,"Coco-Betaine, Cocamidopropyl Betaine",Guar Hydroxypropyltrimonium Chloride,Citric Acid,Methylchloroisothiazolinone,"Parfum, Limonene",-----,--------,-----,Camellia Sinensis Leaf Extract,"Té Verde, Manzana, Limón",Niacinamide (Vitamina B3),-----,Agua
,BioExpert Placenta Vegetal,"Lauril Sulfato de Sodio, Lauret Sulfato de Sodio","Cocoil Glutamato Disódico, Cocoil Glutamato de Sodio","Cloruro de Guar Hidroxipropiltrimonio, Amodimeticona",Citric Acid,"Behenyl Metosulfato Trimetilamonio, Dimeticona, Policuaternio 37",-----,Glicol Diestearato,--------,-----,----,Extracto de Té Verde,---,-----,Agua
,BioExpert Aceite de Macadamia,-----,-----,"Behenyl Metosulfato Trimetilamonio, Dimeticona, Policuaternio 37",Citric Acid,"Benzyl Alcohol, Metilisotiazolinona, Metilcloroisotiazolinona",Fragancia,-----,--------,Glicol Butileno,Extracto de Té Verde,Extracto de Té Verde,----,-----,Agua
