,,Investigación mixta ,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Marca,Tipo,Ingrediente,Envase,Tamaño,Precio(MXN),Punto de venta,Observaciones,Imagen,Tipo de investigación,,,,
1,Garnier Fructis Shampoo Fructis Hair Food Coco,Comercial,"Agua, sodium lauryl sulfate, coco-glucoside, coco-betaine, parfum/fragrance, citric acid, glycol distearate, triethyl citrate, sodium benzoate, sodium hydroxide, hydroxypropyl guar, hydroxypropyltrimonium chloride, salicylic acid, limonene, glycerin, cocos nucifera oil/coconut oil, cocos nucifera fruit extract, hydrogenated palm glycerides citrate, xanthan gum, lecithin, potassium sorbate, tocopherol, ascorbyl palmitate.",Plástico,300 ml,75,mercado libre,Para cabello dañado,  ,Campo/ electronica,,,,
2,Shampoo Herbal Essences BioRenew Aloe Mango,Comercial,"Agua, Lauramidopropyl Betaine, Sodium Cocoyl Isethionate, Sodium Lauroyl Sarcosinate, Sodium Citrate, Citric Acid, Parfum, Sodium Benzoate, Sodium Salicylate, Polyquaternium-10, Dimethiconol, Tetrasodium Edta, Limonene, Hexyl Cinnamal, Linalool, Aloe Barbadensis Leaf Juice, Histidine, Mangifera Indica Juice, Ecklonia Radiata Extract",Plástico,400 ml,191, amazón,Extra reparación y protección* y un pelo extra fuerte – Sin sales° ni sulfatos,,Electrónica,,,,
3,Shampoo Garnier Fructis hair food aloe vera hidratación,Comercial,"Aqua / Water / Eau, Sodium Lauryl Sulfate, Coco-Glucoside, Coco-Betaine, Parfum / Fragrance, Citric Acid, Glyceryl Oleate, Sodium Benzoate, Triethyl Citrate, Sodium Hydroxide, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Sodium Chloride, Salicylic Acid, Aloe Barbadensis Leaf Juice, Linalool, Citronellol, Geraniol, Hydrogenated Palm Glycerides.",Plástico,300,53, Bodega Aurrera,Limpieza profunda,,Fisica,,,,
4,Champú aloe vera Grisi,Comercial,"Aqua/Water, Sodium Laureth Sulfate, Aloe Barbadensis Leaf Extract, Cocamidopropyl Betaine, PEG-150 Distearate, Sodium Gluconate, Oleth-10, Dimethyl Lauramide/Myristamide, Tetrasodium EDTA, Guar Hydroxypropyltrimonium Chloride, Polyester-11, Citric Acid, Persea Gratissima Leaf Extract/Avocado (Persea Gratissima) Leaf Extract, Olea Europaea Leaf Extract/Olive (Olea Europaea) Leaf Extract, Benzophenone-4, Parfum/Fragrance, Benzyl Salicylate, Butylphenyl Methylpropional, Citronellol, Geraniol, Limonene, Linalool, Benzoic Acid, Sorbic Acid, Benzyl Alcohol, 2-Amino-2-Methyl-1-Propanol, CI 19140/FD&C Yellow No. 5, CI 42090/FD&C Blue No. 1.",Plástico ,400 ml ,233.33,T mercado libre  https://www.mercadolibre.com.mx/shampoo-aloe-vera-grisi-400ml/p/MLM26801846?pdp_filters=deal%3AMLM1020488-1%7Cshipping%3Afulfillment#polycard_client=search-nordic&searchVariation=MLM26801846&wid=MLM1945514647&position=18&search_layout=grid&type=product&tracking_id=6a54506e-34f8-4f04-9495-9b95ac91fee9&sid=search,"Nutrición, brillo natural y sedosidad al cabello",,Linea,,,,
5,Shampoo Mennen Protección y Suavidad Miel y Manzanilla,Comercial,"Aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, sodium benzoate, parfum, citric acid, hydroxpropyl guar hydroxypropyltrimonium chloroide, tetrasodium EDTA, sodium phosphate, benzopheone-3, honey (miel), chamomilla recutita (matricaria) flower extract (extracto de manzanilla), CI 19140, CI 14700.",Plástico,700 ml,85,Aurrera,"Proporciona cuidado y protección para tu cabello, dejándolo más saludable, brillante y suave",,Fisica,,,,
6,Shampoo Grisi manzanilla hidratación reestructurante,Comercial ,"Agua, laureth sulfato de sodio, extracto de manzanilla, cocamidopropilbetaína, lauril sulfato de amonio, óxido cocamidopropilamina, glicerina, PEG-7 cocoato de glicerilo, fragancia, salicilato de bencilo, methylpropional butilfenilo, citronelol, cinnamal hexilo, hydroxyisohexyl 3-ciclohexeno carboxaldehído, limoneno, linalool, cloruro de citrominiun, cloruro de sodio, policuaternio-11, fenoxietanol, metilisotiazolinona, polisorbato 80, PEG-150, ácido cítrico, PEG-12 dimeticona, aceite de semilla de argania spinosa, EDTA tetrasódico, caramelo, lecitina, ubiquinona, tetraisopalmitato de ascorbilo, tocoferol, aceite vegetal, ácido benzoico.",Plástico,400 ml ,104,Amazón ,Aclarar y dar brillo al cabello,,Linea,,,,
7,Shampoo Manzanilla Grisi Agave Azul,Comercial,"Aqua, laureth, sodium, chamomilla recutita extract, recutita extract flower, cocamidopropyl betaine, ammonium lauryl slfate, cocamidopropyl oxide, glycerin, ppg 7, glyceril cocoate, cetrimonium chloride, policuaternio 11, glycossphingolipids acrylates, acrylate crospolymer, cholesterol, sodium chloride, parfum, benzyl salicylate, buthylphenyl methylpropional, citronellol, hexyl cinamal, hydroxiisohexyl 3 ciclohexene, carboxaldehyde, limonene, linalool, phenoxyethanol, methylisothiazolinone, citric acid, oeg 150 , peg 12, dimethicone, polysorbate 80, tetrasodium esta, butylene glycol, malic acid, actinidia chinensis fruit, juice, chinensis fruit juice, citrus paradise, juice pyrus malus frit, malus, trideceth 9, prunus amygdalus, dulcis seed extract, prunus dulcis seed extract, caramel, lecitin, ubiquinone, tetraisopalmitate, tocopherol, vegetable oil, benzoic acid.",Plastico ,400 ml ,163,Mercado libre,"Aclarar, dar brillo al cabello y nutrir",,Linea,,,,
8,Shampoo Herbal Essences Détox Té verde & menta,Comercial,"Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Citric Acid, Sodium Citrate, Sodium Xylenesulfonate, Parfum, Cocamide Mea, Sodium Chloride, Sodium Benzoate, Tetrasodium Edta, Peg-60 Almond Glycerides, Guar Hydroxypropyltrimonium Chloride, Linoleamidopropyl Pg-Dimonium Chloride Phosphate, Hexyl Cinnamal, Menthol, Mentha Piperita Oil, Mentha Arvensis Leaf Oil, Camellia Sinensis Leaf Extract, Methylchloroisothiazolinone, Methylisothiazolinone.",Plástico,400 ml,400,Chedraui,Limpieza profunda ,,Fisica,,,,
9,Shampoo Bergamota Y Te Verde,Natural/comercial ,"Agua desionizada, Lauril èter sulfato de sodio, Amida de coco, Cocamidopropil, Betina, Bergamota, Te verde, D-Pantenol, Infusion de ortiga, romero, Propilenglicol, EDTA, Fragancia, Àcido citrico, Benzofenona 3.",Plástico ,400 ml ,63.5,chedraui,Limpieza,,Fisica,,,,"


"
10,Shampoo Herbal Essences Anti-Frizz Lavanda & Aceite de Almendras,Comercial,"Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Citric Acid, Sodium Citrate, Ppg-2 Hydroxyethyl Coco/Isostearamide, Sodium Xylenesulfonate, Sodium Chloride, Dimethiconol, Parfum, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Tetrasodium Edta, Limonene, Hexyl Cinnamal, Hydroxycitronellal, Linalool, Citronellol, Prunus Amygdalus Dulcis Oil, Lavandula Angustifolia Flower Extract, Methylchloroisothiazolinone, Methylisothiazolinone, Ci 17200, Ci 42090, Ci 19142",Plastico ,400 ml,,Soriana,Limpia y ayuda a calmar el frizz del  cabello,,Linea,,,,
11,Savilé Shampoo Control Caspa Aceite de Coco y Romero,Comercial,"Ingredientes: aqua, sodium laureth sulfate, cocamidopropyl betaine, dimethiconol, sodium chloride, carbomer, phenoxyethanol, zinc pyrithione, parfum, sodium salicylate, sodium hydroxide, guar hydroxypropyltrimonium chloride, citric acid, ci 42090, aloe barbadensis leaf extract, cocos nucifera oil, rosmarinus officinalis leaf extract, benzyl salicylate.",Plástico,700  ml,41,BodegaAurrera,Anticaspa,,Fisica,,,,
12,Shampoo Garnier Fructis borrador de daño post química,Comercial ,"Aqua / water, sodium laureth sulfate, sodium lauryl sulfate, cocobetaine, glycol distearate, guar hydroxypropyltrimonium chloride, niacinamide, saccharum officinarum extract / sugar cane extract, sodium chloride, sodium benzoate, hydrolyzed vegetable protein pgpropyl silanetriol, hydroxypropyltrimonium lemon protein, sodium hydroxide, phenoxyethanol, trideceth, salicylic acid, limonene, fumaric acid, camellia sinensis leaf extract, linalool, benzyl alcohol, benzyl salicylate, amodimethicone, caprylic/capric triglyceride, pyrus malus fruit extract / apple fruit extract, carbomer, pyridoxine hcl, citric acid, cetrimonium chloride, citronellol, citrus limon peel extract / lemon peel extract, potassium sorbate, leuconostoc/radish root ferment filtrate, hexylene glycol, hexyl cinnamal, phyllanthus emblica fruit extract, parfum / fragrance, fil code B195797/1.",Plastico ,650,98,BodegaAurrera,Limpieza profunda,,Fiísica,,,,
